,State,County,Income
0,Alabama,Autauga County,55317
1,Alabama,Baldwin County,52562
2,Alabama,Barbour County,33368
3,Alabama,Bibb County,43404
4,Alabama,Blount County,47412
5,Alabama,Bullock County,29655
6,Alabama,Butler County,36326
7,Alabama,Calhoun County,43686
8,Alabama,Chambers County,37342
9,Alabama,Cherokee County,40041
10,Alabama,Chilton County,43501
11,Alabama,Choctaw County,32122
12,Alabama,Clarke County,33827
13,Alabama,Clay County,37287
14,Alabama,Cleburne County,37396
15,Alabama,Coffee County,49821
16,Alabama,Colbert County,45477
17,Alabama,Conecuh County,30434
18,Alabama,Coosa County,34792
19,Alabama,Covington County,39467
20,Alabama,Crenshaw County,38937
21,Alabama,Cullman County,40997
22,Alabama,Dale County,44711
23,Alabama,Dallas County,30065
24,Alabama,DeKalb County,38842
25,Alabama,Elmore County,54981
26,Alabama,Escambia County,35026
27,Alabama,Etowah County,42064
28,Alabama,Fayette County,36541
29,Alabama,Franklin County,39501
30,Alabama,Geneva County,39293
31,Alabama,Greene County,20954
32,Alabama,Hale County,34679
33,Alabama,Henry County,45569
34,Alabama,Houston County,42803
35,Alabama,Jackson County,39281
36,Alabama,Jefferson County,49321
37,Alabama,Lamar County,36016
38,Alabama,Lauderdale County,44888
39,Alabama,Lawrence County,43779
40,Alabama,Lee County,47564
41,Alabama,Limestone County,52831
42,Alabama,Lowndes County,29785
43,Alabama,Macon County,32308
44,Alabama,Madison County,61318
45,Alabama,Marengo County,32255
46,Alabama,Marion County,35719
47,Alabama,Marshall County,41104
48,Alabama,Mobile County,45802
49,Alabama,Monroe County,26036
50,Alabama,Montgomery County,46545
51,Alabama,Morgan County,47529
52,Alabama,Perry County,22973
53,Alabama,Pickens County,36220
54,Alabama,Pike County,35684
55,Alabama,Randolph County,39485
56,Alabama,Russell County,38988
57,Alabama,St. Clair County,53483
58,Alabama,Shelby County,74063
59,Alabama,Sumter County,21663
60,Alabama,Talladega County,39219
61,Alabama,Tallapoosa County,42181
62,Alabama,Tuscaloosa County,50513
63,Alabama,Walker County,38872
64,Alabama,Washington County,42185
65,Alabama,Wilcox County,27012
66,Alabama,Winston County,35362
67,Alaska,Aleutians East Borough,66607
68,Alaska,Aleutians West Census Area,85192
69,Alaska,Anchorage Municipality,82271
70,Alaska,Bethel Census Area,53853
71,Alaska,Bristol Bay Borough,79500
72,Alaska,Denali Borough,83295
73,Alaska,Dillingham Census Area,58708
74,Alaska,Fairbanks North Star Borough,76250
75,Alaska,Haines Borough,70640
76,Alaska,Hoonah-Angoon Census Area,57900
77,Alaska,Juneau City and Borough,90749
78,Alaska,Kenai Peninsula Borough,65279
79,Alaska,Ketchikan Gateway Borough,67321
80,Alaska,Kodiak Island Borough,74167
81,Alaska,Kusilvak Census Area,36468
82,Alaska,Lake and Peninsula Borough,45208
83,Alaska,Matanuska-Susitna Borough,74887
84,Alaska,Nome Census Area,53821
85,Alaska,North Slope Borough,77266
86,Alaska,Northwest Arctic Borough,61533
87,Alaska,Petersburg Borough,63490
88,Alaska,Prince of Wales-Hyder Census Area,52114
89,Alaska,Sitka City and Borough,70765
90,Alaska,Skagway Municipality,70673
91,Alaska,Southeast Fairbanks Census Area,63866
92,Alaska,Valdez-Cordova Census Area,86019
93,Alaska,Wrangell City and Borough,56094
94,Alaska,Yakutat City and Borough,64583
95,Alaska,Yukon-Koyukuk Census Area,37819
96,Arizona,Apache County,32360
97,Arizona,Cochise County,47847
98,Arizona,Coconino County,53523
99,Arizona,Gila County,41179
100,Arizona,Graham County,48173
101,Arizona,Greenlee County,56298
102,Arizona,La Paz County,36479
103,Arizona,Maricopa County,58580
104,Arizona,Mohave County,41567
105,Arizona,Navajo County,38798
106,Arizona,Pima County,48676
107,Arizona,Pinal County,52628
108,Arizona,Santa Cruz County,39630
109,Arizona,Yavapai County,48259
110,Arizona,Yuma County,43253
111,Arkansas,Arkansas County,38532
112,Arkansas,Ashley County,36407
113,Arkansas,Baxter County,40072
114,Arkansas,Benton County,61271
115,Arkansas,Boone County,40727
116,Arkansas,Bradley County,36310
117,Arkansas,Calhoun County,37225
118,Arkansas,Carroll County,39686
119,Arkansas,Chicot County,32412
120,Arkansas,Clark County,37144
121,Arkansas,Clay County,32219
122,Arkansas,Cleburne County,42312
123,Arkansas,Cleveland County,44840
124,Arkansas,Columbia County,37072
125,Arkansas,Conway County,39638
126,Arkansas,Craighead County,45672
127,Arkansas,Crawford County,43504
128,Arkansas,Crittenden County,38558
129,Arkansas,Cross County,41081
130,Arkansas,Dallas County,35794
131,Arkansas,Desha County,27036
132,Arkansas,Drew County,36092
133,Arkansas,Faulkner County,50316
134,Arkansas,Franklin County,39472
135,Arkansas,Fulton County,36051
136,Arkansas,Garland County,41672
137,Arkansas,Grant County,49968
138,Arkansas,Greene County,45566
139,Arkansas,Hempstead County,38701
140,Arkansas,Hot Spring County,40626
141,Arkansas,Howard County,34851
142,Arkansas,Independence County,39945
143,Arkansas,Izard County,39135
144,Arkansas,Jackson County,32783
145,Arkansas,Jefferson County,37630
146,Arkansas,Johnson County,35758
147,Arkansas,Lafayette County,32500
148,Arkansas,Lawrence County,37603
149,Arkansas,Lee County,27901
150,Arkansas,Lincoln County,38873
151,Arkansas,Little River County,36963
152,Arkansas,Logan County,37982
153,Arkansas,Lonoke County,57290
154,Arkansas,Madison County,42894
155,Arkansas,Marion County,36113
156,Arkansas,Miller County,41862
157,Arkansas,Mississippi County,36417
158,Arkansas,Monroe County,31584
159,Arkansas,Montgomery County,35252
160,Arkansas,Nevada County,36995
161,Arkansas,Newton County,38134
162,Arkansas,Ouachita County,32136
163,Arkansas,Perry County,46168
164,Arkansas,Phillips County,26652
165,Arkansas,Pike County,36893
166,Arkansas,Poinsett County,37487
167,Arkansas,Polk County,33870
168,Arkansas,Pope County,40668
169,Arkansas,Prairie County,41244
170,Arkansas,Pulaski County,48850
171,Arkansas,Randolph County,35930
172,Arkansas,St. Francis County,33102
173,Arkansas,Saline County,58985
174,Arkansas,Scott County,37396
175,Arkansas,Searcy County,36716
176,Arkansas,Sebastian County,40932
177,Arkansas,Sevier County,43675
178,Arkansas,Sharp County,31792
179,Arkansas,Stone County,33091
180,Arkansas,Union County,41106
181,Arkansas,Van Buren County,34428
182,Arkansas,Washington County,47452
183,Arkansas,White County,44074
184,Arkansas,Woodruff County,30097
185,Arkansas,Yell County,39696
186,California,Alameda County,85743
187,California,Alpine County,63438
188,California,Amador County,60636
189,California,Butte County,46516
190,California,Calaveras County,54800
191,California,Colusa County,56481
192,California,Contra Costa County,88456
193,California,Del Norte County,41287
194,California,El Dorado County,74885
195,California,Fresno County,48730
196,California,Glenn County,46260
197,California,Humboldt County,43718
198,California,Imperial County,44779
199,California,Inyo County,51500
200,California,Kern County,50826
201,California,Kings County,49742
202,California,Lake County,40446
203,California,Lassen County,54083
204,California,Los Angeles County,61015
205,California,Madera County,48210
206,California,Marin County,104703
207,California,Mariposa County,51385
208,California,Mendocino County,46528
209,California,Merced County,46338
210,California,Modoc County,39296
211,California,Mono County,60595
212,California,Monterey County,63249
213,California,Napa County,79637
214,California,Nevada County,60610
215,California,Orange County,81851
216,California,Placer County,80488
217,California,Plumas County,50266
218,California,Riverside County,60807
219,California,Sacramento County,60239
220,California,San Benito County,80760
221,California,San Bernardino County,57156
222,California,San Diego County,70588
223,California,San Francisco County,96265
224,California,San Joaquin County,57813
225,California,San Luis Obispo County,67175
226,California,San Mateo County,105667
227,California,Santa Barbara County,68023
228,California,Santa Clara County,106761
229,California,Santa Cruz County,73663
230,California,Shasta County,47258
231,California,Sierra County,44190
232,California,Siskiyou County,40884
233,California,Solano County,72950
234,California,Sonoma County,71769
235,California,Stanislaus County,54260
236,California,Sutter County,54347
237,California,Tehama County,42512
238,California,Trinity County,36563
239,California,Tulare County,44871
240,California,Tuolumne County,54325
241,California,Ventura County,81972
242,California,Yolo County,61621
243,California,Yuba County,51776
244,Colorado,Adams County,64087
245,Colorado,Alamosa County,36315
246,Colorado,Arapahoe County,69553
247,Colorado,Archuleta County,48016
248,Colorado,Baca County,35898
249,Colorado,Bent County,32500
250,Colorado,Boulder County,75669
251,Colorado,Broomfield County,85639
252,Colorado,Chaffee County,53762
253,Colorado,Cheyenne County,54907
254,Colorado,Clear Creek County,68534
255,Colorado,Conejos County,35657
256,Colorado,Costilla County,29000
257,Colorado,Crowley County,35292
258,Colorado,Custer County,41330
259,Colorado,Delta County,42487
260,Colorado,Denver County,60098
261,Colorado,Dolores County,40352
262,Colorado,Douglas County,111154
263,Colorado,Eagle County,83803
264,Colorado,Elbert County,92849
265,Colorado,El Paso County,62535
266,Colorado,Fremont County,44712
267,Colorado,Garfield County,66503
268,Colorado,Gilpin County,72544
269,Colorado,Grand County,66489
270,Colorado,Gunnison County,52651
271,Colorado,Hinsdale County,53056
272,Colorado,Huerfano County,35801
273,Colorado,Jackson County,45994
274,Colorado,Jefferson County,75170
275,Colorado,Kiowa County,39250
276,Colorado,Kit Carson County,45881
277,Colorado,Lake County,46176
278,Colorado,La Plata County,62533
279,Colorado,Larimer County,64980
280,Colorado,Las Animas County,40586
281,Colorado,Lincoln County,44725
282,Colorado,Logan County,44876
283,Colorado,Mesa County,51971
284,Colorado,Mineral County,50385
285,Colorado,Moffat County,53010
286,Colorado,Montezuma County,45645
287,Colorado,Montrose County,44865
288,Colorado,Morgan County,51456
289,Colorado,Otero County,35051
290,Colorado,Ouray County,61333
291,Colorado,Park County,61644
292,Colorado,Phillips County,50076
293,Colorado,Pitkin County,67755
294,Colorado,Prowers County,41740
295,Colorado,Pueblo County,42386
296,Colorado,Rio Blanco County,57991
297,Colorado,Rio Grande County,38534
298,Colorado,Routt County,67472
299,Colorado,Saguache County,34765
300,Colorado,San Juan County,46397
301,Colorado,San Miguel County,62243
302,Colorado,Sedgwick County,49583
303,Colorado,Summit County,73538
304,Colorado,Teller County,66809
305,Colorado,Washington County,51458
306,Colorado,Weld County,66489
307,Colorado,Yuma County,44668
308,Connecticut,Fairfield County,89773
309,Connecticut,Hartford County,69936
310,Connecticut,Litchfield County,76438
311,Connecticut,Middlesex County,81673
312,Connecticut,New Haven County,64872
313,Connecticut,New London County,69411
314,Connecticut,Tolland County,81312
315,Connecticut,Windham County,62553
316,Delaware,Kent County,57647
317,Delaware,New Castle County,68336
318,Delaware,Sussex County,57901
319,District of Columbia,District of Columbia,77649
320,Florida,Alachua County,45478
321,Florida,Baker County,59506
322,Florida,Bay County,50283
323,Florida,Bradford County,46106
324,Florida,Brevard County,51536
325,Florida,Broward County,54895
326,Florida,Calhoun County,36237
327,Florida,Charlotte County,46511
328,Florida,Citrus County,40574
329,Florida,Clay County,61971
330,Florida,Collier County,62407
331,Florida,Columbia County,43504
332,Florida,DeSoto County,35435
333,Florida,Dixie County,35910
334,Florida,Duval County,51296
335,Florida,Escambia County,47361
336,Florida,Flagler County,51049
337,Florida,Franklin County,41267
338,Florida,Gadsden County,39830
339,Florida,Gilchrist County,42934
340,Florida,Glades County,37385
341,Florida,Gulf County,44647
342,Florida,Hamilton County,36209
343,Florida,Hardee County,39063
344,Florida,Hendry County,37966
345,Florida,Hernando County,44324
346,Florida,Highlands County,36374
347,Florida,Hillsborough County,53742
348,Florida,Holmes County,37474
349,Florida,Indian River County,49009
350,Florida,Jackson County,36944
351,Florida,Jefferson County,47599
352,Florida,Lafayette County,41512
353,Florida,Lake County,49734
354,Florida,Lee County,52052
355,Florida,Leon County,49941
356,Florida,Levy County,36554
357,Florida,Liberty County,36741
358,Florida,Madison County,31816
359,Florida,Manatee County,53408
360,Florida,Marion County,41964
361,Florida,Martin County,55588
362,Florida,Miami-Dade County,46338
363,Florida,Monroe County,63030
364,Florida,Nassau County,64294
365,Florida,Okaloosa County,59955
366,Florida,Okeechobee County,39059
367,Florida,Orange County,51586
368,Florida,Osceola County,47343
369,Florida,Palm Beach County,57256
370,Florida,Pasco County,48289
371,Florida,Pinellas County,48968
372,Florida,Polk County,45988
373,Florida,Putnam County,33619
374,Florida,St. Johns County,73640
375,Florida,St. Lucie County,47132
376,Florida,Santa Rosa County,62731
377,Florida,Sarasota County,55236
378,Florida,Seminole County,60739
379,Florida,Sumter County,54771
380,Florida,Suwannee County,40600
381,Florida,Taylor County,37188
382,Florida,Union County,37460
383,Florida,Volusia County,43838
384,Florida,Wakulla County,57866
385,Florida,Walton County,50619
386,Florida,Washington County,36989
387,Georgia,Appling County,37089
388,Georgia,Atkinson County,33063
389,Georgia,Bacon County,38824
390,Georgia,Baker County,43867
391,Georgia,Baldwin County,37008
392,Georgia,Banks County,42182
393,Georgia,Barrow County,56119
394,Georgia,Bartow County,52393
395,Georgia,Ben Hill County,32344
396,Georgia,Berrien County,38297
397,Georgia,Bibb County,38183
398,Georgia,Bleckley County,40688
399,Georgia,Brantley County,36812
400,Georgia,Brooks County,34890
401,Georgia,Bryan County,68589
402,Georgia,Bulloch County,39305
403,Georgia,Burke County,38707
404,Georgia,Butts County,39655
405,Georgia,Calhoun County,29617
406,Georgia,Camden County,53687
407,Georgia,Candler County,33125
408,Georgia,Carroll County,46844
409,Georgia,Catoosa County,54537
410,Georgia,Charlton County,43257
411,Georgia,Chatham County,52215
412,Georgia,Chattahoochee County,46096
413,Georgia,Chattooga County,35718
414,Georgia,Cherokee County,75477
415,Georgia,Clarke County,34557
416,Georgia,Clay County,23315
417,Georgia,Clayton County,44106
418,Georgia,Clinch County,21838
419,Georgia,Cobb County,72004
420,Georgia,Coffee County,36572
421,Georgia,Colquitt County,34503
422,Georgia,Columbia County,74162
423,Georgia,Cook County,35539
424,Georgia,Coweta County,67570
425,Georgia,Crawford County,41032
426,Georgia,Crisp County,33194
427,Georgia,Dade County,43163
428,Georgia,Dawson County,62284
429,Georgia,Decatur County,36934
430,Georgia,DeKalb County,55876
431,Georgia,Dodge County,35290
432,Georgia,Dooly County,33389
433,Georgia,Dougherty County,34541
434,Georgia,Douglas County,59333
435,Georgia,Early County,29493
436,Georgia,Echols County,34315
437,Georgia,Effingham County,64279
438,Georgia,Elbert County,35207
439,Georgia,Emanuel County,33089
440,Georgia,Evans County,38736
441,Georgia,Fannin County,43344
442,Georgia,Fayette County,84861
443,Georgia,Floyd County,46096
444,Georgia,Forsyth County,96445
445,Georgia,Franklin County,39246
446,Georgia,Fulton County,61336
447,Georgia,Gilmer County,46211
448,Georgia,Glascock County,45273
449,Georgia,Glynn County,47546
450,Georgia,Gordon County,43452
451,Georgia,Grady County,39462
452,Georgia,Greene County,45069
453,Georgia,Gwinnett County,64496
454,Georgia,Habersham County,44474
455,Georgia,Hall County,55622
456,Georgia,Hancock County,29268
457,Georgia,Haralson County,43663
458,Georgia,Harris County,69539
459,Georgia,Hart County,41216
460,Georgia,Heard County,44897
461,Georgia,Henry County,64752
462,Georgia,Houston County,55965
463,Georgia,Irwin County,34677
464,Georgia,Jackson County,57999
465,Georgia,Jasper County,42067
466,Georgia,Jeff Davis County,37267
467,Georgia,Jefferson County,29640
468,Georgia,Jenkins County,27197
469,Georgia,Johnson County,36423
470,Georgia,Jones County,55110
471,Georgia,Lamar County,41157
472,Georgia,Lanier County,31109
473,Georgia,Laurens County,35202
474,Georgia,Lee County,65018
475,Georgia,Liberty County,43493
476,Georgia,Lincoln County,37711
477,Georgia,Long County,53083
478,Georgia,Lowndes County,39911
479,Georgia,Lumpkin County,43039
480,Georgia,McDuffie County,40469
481,Georgia,McIntosh County,43285
482,Georgia,Macon County,30851
483,Georgia,Madison County,47653
484,Georgia,Marion County,39015
485,Georgia,Meriwether County,36368
486,Georgia,Miller County,37255
487,Georgia,Mitchell County,34122
488,Georgia,Monroe County,50666
489,Georgia,Montgomery County,40308
490,Georgia,Morgan County,59572
491,Georgia,Murray County,41617
492,Georgia,Muscogee County,43239
493,Georgia,Newton County,52784
494,Georgia,Oconee County,77388
495,Georgia,Oglethorpe County,43938
496,Georgia,Paulding County,63669
497,Georgia,Peach County,43645
498,Georgia,Pickens County,61542
499,Georgia,Pierce County,39863
500,Georgia,Pike County,52377
501,Georgia,Polk County,40652
502,Georgia,Pulaski County,38750
503,Georgia,Putnam County,48340
504,Georgia,Quitman County,26750
505,Georgia,Rabun County,39297
506,Georgia,Randolph County,30640
507,Georgia,Richmond County,39430
508,Georgia,Rockdale County,54175
509,Georgia,Schley County,41267
510,Georgia,Screven County,36556
511,Georgia,Seminole County,33999
512,Georgia,Spalding County,42398
513,Georgia,Stephens County,39756
514,Georgia,Stewart County,22413
515,Georgia,Sumter County,34219
516,Georgia,Talbot County,37226
517,Georgia,Taliaferro County,30500
518,Georgia,Tattnall County,36355
519,Georgia,Taylor County,29875
520,Georgia,Telfair County,28044
521,Georgia,Terrell County,32219
522,Georgia,Thomas County,41336
523,Georgia,Tift County,38728
524,Georgia,Toombs County,35750
525,Georgia,Towns County,41182
526,Georgia,Treutlen County,39375
527,Georgia,Troup County,43597
528,Georgia,Turner County,42622
529,Georgia,Twiggs County,30629
530,Georgia,Union County,42767
531,Georgia,Upson County,35375
532,Georgia,Walker County,43581
533,Georgia,Walton County,55876
534,Georgia,Ware County,36962
535,Georgia,Warren County,32860
536,Georgia,Washington County,38097
537,Georgia,Wayne County,41534
538,Georgia,Webster County,36658
539,Georgia,Wheeler County,28490
540,Georgia,White County,43944
541,Georgia,Whitfield County,43871
542,Georgia,Wilcox County,35457
543,Georgia,Wilkes County,34234
544,Georgia,Wilkinson County,38711
545,Georgia,Worth County,40369
546,Hawaii,Hawaii County,56395
547,Hawaii,Honolulu County,80078
548,Hawaii,Kalawao County,61750
549,Hawaii,Kauai County,72330
550,Hawaii,Maui County,72762
551,Idaho,Ada County,60151
552,Idaho,Adams County,42727
553,Idaho,Bannock County,47390
554,Idaho,Bear Lake County,50603
555,Idaho,Benewah County,43472
556,Idaho,Bingham County,51307
557,Idaho,Blaine County,58835
558,Idaho,Boise County,49964
559,Idaho,Bonner County,45607
560,Idaho,Bonneville County,54150
561,Idaho,Boundary County,39512
562,Idaho,Butte County,43207
563,Idaho,Camas County,36667
564,Idaho,Canyon County,46426
565,Idaho,Caribou County,58750
566,Idaho,Cassia County,48162
567,Idaho,Clark County,31927
568,Idaho,Clearwater County,41122
569,Idaho,Custer County,37976
570,Idaho,Elmore County,45154
571,Idaho,Franklin County,51583
572,Idaho,Fremont County,51806
573,Idaho,Gem County,42888
574,Idaho,Gooding County,42626
575,Idaho,Idaho County,40299
576,Idaho,Jefferson County,58055
577,Idaho,Jerome County,46421
578,Idaho,Kootenai County,53189
579,Idaho,Latah County,43310
580,Idaho,Lemhi County,36031
581,Idaho,Lewis County,40313
582,Idaho,Lincoln County,46383
583,Idaho,Madison County,33620
584,Idaho,Minidoka County,48021
585,Idaho,Nez Perce County,51804
586,Idaho,Oneida County,43491
587,Idaho,Owyhee County,36092
588,Idaho,Payette County,48447
589,Idaho,Power County,47602
590,Idaho,Shoshone County,39835
591,Idaho,Teton County,55986
592,Idaho,Twin Falls County,49118
593,Idaho,Valley County,54015
594,Idaho,Washington County,37521
595,Illinois,Adams County,48454
596,Illinois,Alexander County,31014
597,Illinois,Bond County,54393
598,Illinois,Boone County,62701
599,Illinois,Brown County,56289
600,Illinois,Bureau County,54271
601,Illinois,Calhoun County,53641
602,Illinois,Carroll County,50555
603,Illinois,Cass County,50156
604,Illinois,Champaign County,49586
605,Illinois,Christian County,50668
606,Illinois,Clark County,52068
607,Illinois,Clay County,47427
608,Illinois,Clinton County,64543
609,Illinois,Coles County,41907
610,Illinois,Cook County,59426
611,Illinois,Crawford County,47468
612,Illinois,Cumberland County,50680
613,Illinois,DeKalb County,58343
614,Illinois,De Witt County,55411
615,Illinois,Douglas County,52261
616,Illinois,DuPage County,84442
617,Illinois,Edgar County,47873
618,Illinois,Edwards County,49632
619,Illinois,Effingham County,54655
620,Illinois,Fayette County,44541
621,Illinois,Ford County,50851
622,Illinois,Franklin County,39454
623,Illinois,Fulton County,48599
624,Illinois,Gallatin County,42450
625,Illinois,Greene County,44502
626,Illinois,Grundy County,71598
627,Illinois,Hamilton County,47293
628,Illinois,Hancock County,51460
629,Illinois,Hardin County,39524
630,Illinois,Henderson County,47428
631,Illinois,Henry County,55755
632,Illinois,Iroquois County,48857
633,Illinois,Jackson County,36008
634,Illinois,Jasper County,56523
635,Illinois,Jefferson County,46109
636,Illinois,Jersey County,56320
637,Illinois,Jo Daviess County,55532
638,Illinois,Johnson County,45743
639,Illinois,Kane County,74862
640,Illinois,Kankakee County,56542
641,Illinois,Kendall County,89860
642,Illinois,Knox County,41972
643,Illinois,Lake County,82613
644,Illinois,LaSalle County,54693
645,Illinois,Lawrence County,44504
646,Illinois,Lee County,58319
647,Illinois,Livingston County,54339
648,Illinois,Logan County,58271
649,Illinois,McDonough County,42911
650,Illinois,McHenry County,82230
651,Illinois,McLean County,64573
652,Illinois,Macon County,49052
653,Illinois,Macoupin County,53890
654,Illinois,Madison County,56536
655,Illinois,Marion County,44679
656,Illinois,Marshall County,55173
657,Illinois,Mason County,44695
658,Illinois,Massac County,42168
659,Illinois,Menard County,62368
660,Illinois,Mercer County,55649
661,Illinois,Monroe County,74410
662,Illinois,Montgomery County,47807
663,Illinois,Morgan County,49353
664,Illinois,Moultrie County,53979
665,Illinois,Ogle County,57655
666,Illinois,Peoria County,53063
667,Illinois,Perry County,45864
668,Illinois,Piatt County,67360
669,Illinois,Pike County,41387
670,Illinois,Pope County,41139
671,Illinois,Pulaski County,34655
672,Illinois,Putnam County,64741
673,Illinois,Randolph County,49717
674,Illinois,Richland County,46454
675,Illinois,Rock Island County,51426
676,Illinois,St. Clair County,51103
677,Illinois,Saline County,40722
678,Illinois,Sangamon County,58687
679,Illinois,Schuyler County,47321
680,Illinois,Scott County,48542
681,Illinois,Shelby County,49807
682,Illinois,Stark County,52284
683,Illinois,Stephenson County,46427
684,Illinois,Tazewell County,60874
685,Illinois,Union County,46716
686,Illinois,Vermilion County,44930
687,Illinois,Wabash County,49716
688,Illinois,Warren County,47278
689,Illinois,Washington County,54520
690,Illinois,Wayne County,46405
691,Illinois,White County,46279
692,Illinois,Whiteside County,51969
693,Illinois,Will County,80782
694,Illinois,Williamson County,48600
695,Illinois,Winnebago County,51110
696,Illinois,Woodford County,69507
697,Indiana,Adams County,48290
698,Indiana,Allen County,51091
699,Indiana,Bartholomew County,57331
700,Indiana,Benton County,49183
701,Indiana,Blackford County,40622
702,Indiana,Boone County,75591
703,Indiana,Brown County,59292
704,Indiana,Carroll County,56188
705,Indiana,Cass County,45558
706,Indiana,Clark County,52834
707,Indiana,Clay County,50924
708,Indiana,Clinton County,51659
709,Indiana,Crawford County,40067
710,Indiana,Daviess County,48355
711,Indiana,Dearborn County,62905
712,Indiana,Decatur County,52270
713,Indiana,DeKalb County,51374
714,Indiana,Delaware County,41208
715,Indiana,Dubois County,57307
716,Indiana,Elkhart County,52449
717,Indiana,Fayette County,41476
718,Indiana,Floyd County,59451
719,Indiana,Fountain County,46669
720,Indiana,Franklin County,55588
721,Indiana,Fulton County,47108
722,Indiana,Gibson County,51149
723,Indiana,Grant County,42046
724,Indiana,Greene County,49648
725,Indiana,Hamilton County,90582
726,Indiana,Hancock County,70973
727,Indiana,Harrison County,53897
728,Indiana,Hendricks County,74245
729,Indiana,Henry County,46131
730,Indiana,Howard County,47958
731,Indiana,Huntington County,50063
732,Indiana,Jackson County,49080
733,Indiana,Jasper County,56574
734,Indiana,Jay County,42878
735,Indiana,Jefferson County,50722
736,Indiana,Jennings County,48362
737,Indiana,Johnson County,65272
738,Indiana,Knox County,44837
739,Indiana,Kosciusko County,57190
740,Indiana,LaGrange County,58336
741,Indiana,Lake County,52559
742,Indiana,LaPorte County,49921
743,Indiana,Lawrence County,49985
744,Indiana,Madison County,45432
745,Indiana,Marion County,44869
746,Indiana,Marshall County,51869
747,Indiana,Martin County,49372
748,Indiana,Miami County,46666
749,Indiana,Monroe County,45689
750,Indiana,Montgomery County,53075
751,Indiana,Morgan County,60317
752,Indiana,Newton County,52193
753,Indiana,Noble County,52393
754,Indiana,Ohio County,58359
755,Indiana,Orange County,42803
756,Indiana,Owen County,48315
757,Indiana,Parke County,44643
758,Indiana,Perry County,49689
759,Indiana,Pike County,50196
760,Indiana,Porter County,65979
761,Indiana,Posey County,60992
762,Indiana,Pulaski County,47633
763,Indiana,Putnam County,55295
764,Indiana,Randolph County,44985
765,Indiana,Ripley County,53698
766,Indiana,Rush County,47955
767,Indiana,St. Joseph County,48121
768,Indiana,Scott County,49243
769,Indiana,Shelby County,57216
770,Indiana,Spencer County,55280
771,Indiana,Starke County,45526
772,Indiana,Steuben County,52749
773,Indiana,Sullivan County,45031
774,Indiana,Switzerland County,43468
775,Indiana,Tippecanoe County,50486
776,Indiana,Tipton County,53931
777,Indiana,Union County,45531
778,Indiana,Vanderburgh County,44815
779,Indiana,Vermillion County,45440
780,Indiana,Vigo County,42030
781,Indiana,Wabash County,49052
782,Indiana,Warren County,58950
783,Indiana,Warrick County,66080
784,Indiana,Washington County,46861
785,Indiana,Wayne County,41813
786,Indiana,Wells County,53038
787,Indiana,White County,51404
788,Indiana,Whitley County,57041
789,Iowa,Adair County,49477
790,Iowa,Adams County,49745
791,Iowa,Allamakee County,47895
792,Iowa,Appanoose County,40377
793,Iowa,Audubon County,48750
794,Iowa,Benton County,64061
795,Iowa,Black Hawk County,50916
796,Iowa,Boone County,57906
797,Iowa,Bremer County,65440
798,Iowa,Buchanan County,59348
799,Iowa,Buena Vista County,52784
800,Iowa,Butler County,53937
801,Iowa,Calhoun County,46302
802,Iowa,Carroll County,54563
803,Iowa,Cass County,45637
804,Iowa,Cedar County,62555
805,Iowa,Cerro Gordo County,50569
806,Iowa,Cherokee County,53998
807,Iowa,Chickasaw County,50688
808,Iowa,Clarke County,49718
809,Iowa,Clay County,48978
810,Iowa,Clayton County,51114
811,Iowa,Clinton County,50295
812,Iowa,Crawford County,51091
813,Iowa,Dallas County,82719
814,Iowa,Davis County,52390
815,Iowa,Decatur County,41042
816,Iowa,Delaware County,60534
817,Iowa,Des Moines County,47524
818,Iowa,Dickinson County,59889
819,Iowa,Dubuque County,59150
820,Iowa,Emmet County,47419
821,Iowa,Fayette County,48412
822,Iowa,Floyd County,48607
823,Iowa,Franklin County,48172
824,Iowa,Fremont County,54430
825,Iowa,Greene County,52529
826,Iowa,Grundy County,65170
827,Iowa,Guthrie County,56306
828,Iowa,Hamilton County,55836
829,Iowa,Hancock County,57840
830,Iowa,Hardin County,52207
831,Iowa,Harrison County,57558
832,Iowa,Henry County,52275
833,Iowa,Howard County,51422
834,Iowa,Humboldt County,48847
835,Iowa,Ida County,51978
836,Iowa,Iowa County,58077
837,Iowa,Jackson County,51806
838,Iowa,Jasper County,56363
839,Iowa,Jefferson County,44516
840,Iowa,Johnson County,59965
841,Iowa,Jones County,58391
842,Iowa,Keokuk County,48399
843,Iowa,Kossuth County,54868
844,Iowa,Lee County,48266
845,Iowa,Linn County,62702
846,Iowa,Louisa County,54393
847,Iowa,Lucas County,47325
848,Iowa,Lyon County,62012
849,Iowa,Madison County,60077
850,Iowa,Mahaska County,50568
851,Iowa,Marion County,57917
852,Iowa,Marshall County,52752
853,Iowa,Mills County,67949
854,Iowa,Mitchell County,53675
855,Iowa,Monona County,41598
856,Iowa,Monroe County,50179
857,Iowa,Montgomery County,43674
858,Iowa,Muscatine County,56398
859,Iowa,O'Brien County,56314
860,Iowa,Osceola County,53604
861,Iowa,Page County,46708
862,Iowa,Palo Alto County,50470
863,Iowa,Plymouth County,61316
864,Iowa,Pocahontas County,45969
865,Iowa,Polk County,63530
866,Iowa,Pottawattamie County,56291
867,Iowa,Poweshiek County,51456
868,Iowa,Ringgold County,50642
869,Iowa,Sac County,53254
870,Iowa,Scott County,57681
871,Iowa,Shelby County,55638
