Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Denton County, TX,48121,91,806180,11.3,9.1,13.9,1.2,0.20%
,Ector County, TX,48135,22,157462,14,8.8,21.2,3,0.00%
,Ellis County, TX,48139,13,168499,Unreliable,4.1,13.2,2.1,0.00%
,El Paso County, TX,48141,84,837918,10,8,12.4,1.1,0.20%
,Fannin County, TX,48147,10,34031,Unreliable,14.1,54,9.3,0.00%
,Fort Bend County, TX,48157,70,741237,9.4,7.4,11.9,1.1,0.20%
,Galveston County, TX,48167,47,329431,14.3,10.5,19,2.1,0.10%
,Grayson County, TX,48181,24,128235,18.7,12,27.8,3.8,0.10%
,Gregg County, TX,48183,17,123745,Unreliable,8,22,3.3,0.00%
,Guadalupe County, TX,48187,24,155265,15.5,9.9,23,3.2,0.10%
,Hardin County, TX,48199,10,56322,Unreliable,8.5,32.7,5.6,0.00%
,Harris County, TX,48201,491,4589928,10.7,9.8,11.6,0.5,1.10%
,Harrison County, TX,48203,22,66534,33.1,20.7,50.1,7,0.00%
,Hays County, TX,48209,31,204470,15.2,10.3,21.5,2.7,0.10%
,Henderson County, TX,48213,16,79901,Unreliable,11.4,32.5,5,0.00%
,Hidalgo County, TX,48215,55,849843,6.5,4.9,8.4,0.9,0.10%
,Hood County, TX,48221,11,56857,Unreliable,9.7,34.6,5.8,0.00%
,Howard County, TX,48227,10,36708,Unreliable,13.1,50.1,8.6,0.00%
,Hunt County, TX,48231,19,92073,Unreliable,12.4,32.2,4.7,0.00%
,Jefferson County, TX,48245,33,254679,13,8.9,18.2,2.3,0.10%
,Johnson County, TX,48251,22,163274,13.5,8.4,20.4,2.9,0.00%
,Kaufman County, TX,48257,15,118350,Unreliable,7.1,20.9,3.3,0.00%
,Kerr County, TX,48265,13,51504,Unreliable,13.4,43.2,7,0.00%
,Liberty County, TX,48291,14,81704,Unreliable,9.4,28.7,4.6,0.00%
,Lubbock County, TX,48303,48,303137,15.8,11.7,21,2.3,0.10%
,McLennan County, TX,48309,29,247934,11.7,7.8,16.8,2.2,0.10%
,Midland County, TX,48329,16,162565,Unreliable,5.6,16,2.5,0.00%
,Montgomery County, TX,48339,92,556203,16.5,13.3,20.3,1.7,0.20%
,Nueces County, TX,48355,47,361350,13,9.6,17.3,1.9,0.10%
,Orange County, TX,48361,13,84964,Unreliable,8.1,26.2,4.2,0.00%
,Palo Pinto County, TX,48363,10,28053,Unreliable,17.1,65.6,11.3,0.00%
,Parker County, TX,48367,29,129441,22.4,15,32.2,4.2,0.10%
,Potter County, TX,48375,29,120832,24,16.1,34.5,4.5,0.10%
,Randall County, TX,48381,29,132501,21.9,14.7,31.4,4.1,0.10%
,Rockwall County, TX,48397,11,93978,Unreliable,5.8,20.9,3.5,0.00%
,Rusk County, TX,48401,11,52732,Unreliable,10.4,37.3,6.3,0.00%
,San Patricio County, TX,48409,12,67655,Unreliable,9.2,31,5.1,0.00%
,Smith County, TX,48423,40,225290,17.8,12.7,24.2,2.8,0.10%
,Tarrant County, TX,48439,261,2016872,12.9,11.4,14.5,0.8,0.60%
,Taylor County, TX,48441,36,136535,26.4,18.5,36.5,4.4,0.10%
,Travis County, TX,48453,134,1199323,11.2,9.3,13.1,1,0.30%
,Van Zandt County, TX,48467,11,54355,Unreliable,10.1,36.2,6.1,0.00%
,Victoria County, TX,48469,21,92467,22.7,14.1,34.7,5,0.00%
,Walker County, TX,48471,13,71484,Unreliable,9.7,31.1,5,0.00%
,Webb County, TX,48479,15,271193,Unreliable,3.1,9.1,1.4,0.00%
,Wichita County, TX,48485,24,131838,18.2,11.7,27.1,3.7,0.10%
,Williamson County, TX,48491,81,528718,15.3,12.2,19,1.7,0.20%
,Wise County, TX,48497,14,64455,Unreliable,11.9,36.4,5.8,0.00%
,Box Elder County, UT,49003,13,53139,Unreliable,13,41.8,6.8,0.00%
,Cache County, UT,49005,21,122753,17.1,10.6,26.2,3.7,0.00%
,Davis County, UT,49011,57,342281,16.7,12.6,21.6,2.2,0.10%
,Iron County, UT,49021,11,49937,Unreliable,11,39.4,6.6,0.00%
