Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Autauga County, AL,1001,14,55416,Unreliable,13.8,42.4,6.8,0.00%
,Baldwin County, AL,1003,42,208563,20.1,14.5,27.2,3.1,0.10%
,Blount County, AL,1009,11,57704,Unreliable,9.5,34.1,5.7,0.00%
,Calhoun County, AL,1015,25,114611,21.8,14.1,32.2,4.4,0.10%
,Chambers County, AL,1017,15,33843,Unreliable,24.8,73.1,11.4,0.00%
,Coffee County, AL,1031,10,51226,Unreliable,9.4,35.9,6.2,0.00%
,Cullman County, AL,1043,19,82471,Unreliable,13.9,36,5.3,0.00%
,DeKalb County, AL,1049,10,70900,Unreliable,6.8,25.9,4.5,0.00%
,Elmore County, AL,1051,21,81799,25.7,15.9,39.2,5.6,0.00%
,Escambia County, AL,1053,10,37728,Unreliable,12.7,48.7,8.4,0.00%
,Etowah County, AL,1055,17,102564,Unreliable,9.7,26.5,4,0.00%
,Houston County, AL,1069,10,104056,Unreliable,4.6,17.7,3,0.00%
,Jackson County, AL,1071,14,52138,Unreliable,14.7,45.1,7.2,0.00%
,Jefferson County, AL,1073,84,659521,12.7,10.2,15.8,1.4,0.20%
,Lauderdale County, AL,1077,20,92318,21.7,13.2,33.5,4.8,0.00%
,Lee County, AL,1081,17,158991,Unreliable,6.2,17.1,2.6,0.00%
,Limestone County, AL,1083,10,92753,Unreliable,5.2,19.8,3.4,0.00%
,Madison County, AL,1089,76,356967,21.3,16.8,26.6,2.4,0.20%
,Marshall County, AL,1095,17,95157,Unreliable,10.4,28.6,4.3,0.00%
,Mobile County, AL,1097,70,414836,16.9,13.2,21.3,2,0.20%
,Montgomery County, AL,1101,30,226349,13.3,8.9,18.9,2.4,0.10%
,Morgan County, AL,1103,28,119012,23.5,15.6,34,4.4,0.10%
,St. Clair County, AL,1115,16,88019,Unreliable,10.4,29.5,4.5,0.00%
,Shelby County, AL,1117,31,210622,14.7,10,20.9,2.6,0.10%
,Talladega County, AL,1121,10,80103,Unreliable,6,23,3.9,0.00%
,Tuscaloosa County, AL,1125,24,206102,11.6,7.5,17.3,2.4,0.10%
,Walker County, AL,1127,15,64967,Unreliable,12.9,38.1,6,0.00%
,Anchorage Borough, AK,2020,69,298192,23.1,18,29.3,2.8,0.20%
,Bethel Census Area, AK,2050,11,17968,Unreliable,30.6,109.5,18.5,0.00%
,Fairbanks North Star Borough, AK,2090,25,100605,24.8,16.1,36.7,5,0.10%
,Kenai Peninsula Borough, AK,2122,18,58506,Unreliable,18.2,48.6,7.3,0.00%
,Matanuska-Susitna Borough, AK,2170,22,104365,21.1,13.2,31.9,4.5,0.00%
,Prince of Wales-Outer Ketchikan Census Area, AK,2201,Missing,Missing,Missing,Missing,Missing,Missing,Missing
,Skagway-Hoonah-Angoon Census Area, AK,2232,Missing,Missing,Missing,Missing,Missing,Missing,Missing
,Wade Hampton Census Area, AK,2270,10,8049,Unreliable,59.6,228.5,39.3,0.00%
,Wrangell-Petersburg Census Area, AK,2280,Missing,Missing,Missing,Missing,Missing,Missing,Missing
,Apache County, AZ,4001,20,73112,27.4,16.7,42.2,6.1,0.00%
,Cochise County, AZ,4003,30,125770,23.9,16.1,34.1,4.4,0.10%
,Coconino County, AZ,4005,25,140908,17.7,11.5,26.2,3.5,0.10%
,Gila County, AZ,4007,14,53556,Unreliable,14.3,43.9,7,0.00%
,Graham County, AZ,4009,12,37599,Unreliable,16.5,55.8,9.2,0.00%
,Maricopa County, AZ,4013,691,4242997,16.3,15.1,17.5,0.6,1.50%
,Mohave County, AZ,4015,71,205249,34.6,27,43.6,4.1,0.20%
,Navajo County, AZ,4017,36,110026,32.7,22.9,45.3,5.5,0.10%
,Pima County, AZ,4019,184,1016206,18.1,15.5,20.7,1.3,0.40%
,Pinal County, AZ,4021,68,418540,16.2,12.6,20.6,2,0.20%
,Yavapai County, AZ,4025,82,225562,36.4,28.9,45.1,4,0.20%
,Yuma County, AZ,4027,26,205631,12.6,8.3,18.5,2.5,0.10%
,Baxter County, AR,5005,15,41062,Unreliable,20.4,60.3,9.4,0.00%
,Benton County, AR,5007,42,258291,16.3,11.7,22,2.5,0.10%
,Craighead County, AR,5031,20,105835,18.9,11.5,29.2,4.2,0.00%
,Crawford County, AR,5033,11,62267,Unreliable,8.8,31.6,5.3,0.00%
,Faulkner County, AR,5045,23,122227,18.8,11.9,28.2,3.9,0.10%
,Garland County, AR,5051,18,97477,Unreliable,10.9,29.2,4.4,0.00%
,Greene County, AR,5055,14,44598,Unreliable,17.2,52.7,8.4,0.00%
,Jefferson County, AR,5069,12,70016,Unreliable,8.9,29.9,4.9,0.00%
,Lonoke County, AR,5085,14,72228,Unreliable,10.6,32.5,5.2,0.00%
,Pulaski County, AR,5119,74,393250,18.8,14.8,23.6,2.2,0.20%
,Saline County, AR,5125,18,118703,Unreliable,9,24,3.6,0.00%
,Sebastian County, AR,5131,21,127793,16.4,10.2,25.1,3.6,0.00%
,Union County, AR,5139,10,39887,Unreliable,12,46.1,7.9,0.00%
,Washington County, AR,5143,39,228049,17.1,12.2,23.4,2.7,0.10%
,White County, AR,5145,14,79263,Unreliable,9.7,29.6,4.7,0.00%
,Alameda County, CA,6001,157,1647704,9.5,8,11,0.8,0.30%
,Amador County, CA,6005,10,37383,Unreliable,12.8,49.2,8.5,0.00%
,Butte County, CA,6007,49,226864,21.6,16,28.6,3.1,0.10%
,Contra Costa County, CA,6013,141,1135127,12.4,10.4,14.5,1,0.30%
,El Dorado County, CA,6017,42,185625,22.6,16.3,30.6,3.5,0.10%
,Fresno County, CA,6019,102,979915,10.4,8.4,12.4,1,0.20%
,Humboldt County, CA,6023,36,136646,26.3,18.5,36.5,4.4,0.10%
,Imperial County, CA,6025,14,180883,Unreliable,4.2,13,2.1,0.00%
,Kern County, CA,6029,123,884788,13.9,11.4,16.4,1.3,0.30%
,Kings County, CA,6031,14,149785,Unreliable,5.1,15.7,2.5,0.00%
,Lake County, CA,6033,15,64116,Unreliable,13.1,38.6,6,0.00%
,Los Angeles County, CA,6037,843,10137915,8.3,7.8,8.9,0.3,1.90%
,Madera County, CA,6039,14,154697,Unreliable,4.9,15.2,2.4,0.00%
,Marin County, CA,6041,47,260651,18,13.2,24,2.6,0.10%
,Mendocino County, CA,6045,20,87628,22.8,13.9,35.2,5.1,0.00%
,Merced County, CA,6047,33,268672,12.3,8.5,17.2,2.1,0.10%
,Monterey County, CA,6053,36,435232,8.3,5.8,11.5,1.4,0.10%
,Napa County, CA,6055,12,142166,Unreliable,4.4,14.7,2.4,0.00%
,Nevada County, CA,6057,17,99107,Unreliable,10,27.5,4.2,0.00%
,Orange County, CA,6059,320,3172532,10.1,9,11.2,0.6,0.70%
,Placer County, CA,6061,56,380531,14.7,11.1,19.1,2,0.10%
,Riverside County, CA,6065,284,2387741,11.9,10.5,13.3,0.7,0.60%
,Sacramento County, CA,6067,192,1514460,12.7,10.9,14.5,0.9,0.40%
,San Bernardino County, CA,6071,229,2140096,10.7,9.3,12.1,0.7,0.50%
,San Diego County, CA,6073,415,3317749,12.5,11.3,13.7,0.6,0.90%
,San Francisco County, CA,6075,114,870887,13.1,10.7,15.5,1.2,0.30%
,San Joaquin County, CA,6077,74,733709,10.1,7.9,12.7,1.2,0.20%
,San Luis Obispo County, CA,6079,60,282887,21.2,16.2,27.3,2.7,0.10%
,San Mateo County, CA,6081,65,764797,8.5,6.6,10.8,1.1,0.10%
,Santa Barbara County, CA,6083,53,446170,11.9,8.9,15.5,1.6,0.10%
,Santa Clara County, CA,6085,147,1919402,7.7,6.4,8.9,0.6,0.30%
,Santa Cruz County, CA,6087,49,274673,17.8,13.2,23.6,2.5,0.10%
,Shasta County, CA,6089,37,179631,20.6,14.5,28.4,3.4,0.10%
,Siskiyou County, CA,6093,15,43603,Unreliable,19.3,56.7,8.9,0.00%
,Solano County, CA,6095,47,440207,10.7,7.8,14.2,1.6,0.10%
,Sonoma County, CA,6097,71,503070,14.1,11,17.8,1.7,0.20%
,Stanislaus County, CA,6099,62,541560,11.4,8.8,14.7,1.5,0.10%
,Sutter County, CA,6101,19,96651,Unreliable,11.8,30.7,4.5,0.00%
,Tehama County, CA,6103,16,63276,Unreliable,14.5,41.1,6.3,0.00%
,Tulare County, CA,6107,42,460437,9.1,6.6,12.3,1.4,0.10%
,Tuolumne County, CA,6109,12,53804,Unreliable,11.5,39,6.4,0.00%
,Ventura County, CA,6111,89,849738,10.5,8.4,12.9,1.1,0.20%
,Yolo County, CA,6113,30,215802,13.9,9.4,19.8,2.5,0.10%
,Yuba County, CA,6115,11,75275,Unreliable,7.3,26.1,4.4,0.00%
,Adams County, CO,8001,84,498187,16.9,13.4,20.9,1.8,0.20%
,Arapahoe County, CO,8005,119,637068,18.7,15.3,22,1.7,0.30%
,Boulder County, CO,8013,53,322226,16.4,12.3,21.5,2.3,0.10%
,Broomfield County, CO,8014,16,66529,Unreliable,13.7,39.1,6,0.00%
,Delta County, CO,8029,13,30442,Unreliable,22.7,73,11.8,0.00%
,Denver County, CO,8031,120,693060,17.3,14.2,20.4,1.6,0.30%
,Douglas County, CO,8035,59,328632,18,13.7,23.2,2.3,0.10%
,El Paso County, CO,8041,194,688284,28.2,24.2,32.2,2,0.40%
,Fremont County, CO,8043,17,47446,Unreliable,20.9,57.4,8.7,0.00%
,Garfield County, CO,8045,13,58887,Unreliable,11.8,37.8,6.1,0.00%
,Gunnison County, CO,8051,10,16408,Unreliable,29.2,112.1,19.3,0.00%
,Jefferson County, CO,8059,103,571837,18,14.5,21.5,1.8,0.20%
,La Plata County, CO,8067,13,55623,Unreliable,12.4,40,6.5,0.00%
,Larimer County, CO,8069,73,339993,21.5,16.8,27,2.5,0.20%
,Mesa County, CO,8077,51,150083,34,25.3,44.7,4.8,0.10%
,Montezuma County, CO,8083,15,26999,Unreliable,31.1,91.6,14.3,0.00%
,Montrose County, CO,8085,10,41471,Unreliable,11.6,44.3,7.6,0.00%
,Park County, CO,8093,11,17166,Unreliable,32,114.7,19.3,0.00%
,Pueblo County, CO,8101,36,165123,21.8,15.3,30.2,3.6,0.10%
,Weld County, CO,8123,54,294932,18.3,13.8,23.9,2.5,0.10%
,Fairfield County, CT,9001,94,944177,10,8,12.2,1,0.20%
,Hartford County, CT,9003,85,892389,9.5,7.6,11.8,1,0.20%
,Litchfield County, CT,9005,21,182571,11.5,7.1,17.6,2.5,0.00%
,Middlesex County, CT,9007,14,163329,Unreliable,4.7,14.4,2.3,0.00%
,New Haven County, CT,9009,99,856875,11.6,9.4,14.1,1.2,0.20%
,New London County, CT,9011,35,269801,13,9,18,2.2,0.10%
,Tolland County, CT,9013,27,151118,17.9,11.8,26,3.4,0.10%
,Windham County, CT,9015,22,116192,18.9,11.9,28.7,4,0.00%
,Kent County, DE,10001,20,174827,11.4,7,17.7,2.6,0.00%
,New Castle County, DE,10003,65,556987,11.7,9,14.9,1.4,0.10%
,Sussex County, DE,10005,34,220251,15.4,10.7,21.6,2.6,0.10%
,District of Columbia, DC,11001,40,681170,5.9,4.2,8,0.9,0.10%
,Alachua County, FL,12001,32,263496,12.1,8.3,17.1,2.1,0.10%
,Bay County, FL,12005,46,183974,25,18.3,33.4,3.7,0.10%
,Brevard County, FL,12009,135,579130,23.3,19.4,27.2,2,0.30%
,Broward County, FL,12011,243,1909632,12.7,11.1,14.3,0.8,0.50%
,Charlotte County, FL,12015,38,178465,21.3,15.1,29.2,3.5,0.10%
,Citrus County, FL,12017,29,143621,20.2,13.5,29,3.7,0.10%
,Clay County, FL,12019,40,208311,19.2,13.7,26.1,3,0.10%
,Collier County, FL,12021,45,365136,12.3,9,16.5,1.8,0.10%
,Duval County, FL,12031,130,926255,14,11.6,16.4,1.2,0.30%
,Escambia County, FL,12033,62,315187,19.7,15.1,25.2,2.5,0.10%
,Flagler County, FL,12035,20,108310,18.5,11.3,28.5,4.1,0.00%
,Hernando County, FL,12053,38,182835,20.8,14.7,28.5,3.4,0.10%
,Highlands County, FL,12055,24,100917,23.8,15.2,35.4,4.9,0.10%
,Hillsborough County, FL,12057,164,1376238,11.9,10.1,13.7,0.9,0.40%
,Indian River County, FL,12061,29,151563,19.1,12.8,27.5,3.6,0.10%
,Lake County, FL,12069,52,335396,15.5,11.6,20.3,2.2,0.10%
,Lee County, FL,12071,114,722336,15.8,12.9,18.7,1.5,0.30%
,Leon County, FL,12073,26,287822,9,5.9,13.2,1.8,0.10%
,Manatee County, FL,12081,81,375888,21.5,17.1,26.8,2.4,0.20%
,Marion County, FL,12083,65,349020,18.6,14.4,23.7,2.3,0.10%
,Martin County, FL,12085,35,158701,22.1,15.4,30.7,3.7,0.10%
,Miami-Dade County, FL,12086,251,2712945,9.3,8.1,10.4,0.6,0.60%
,Monroe County, FL,12087,19,79077,Unreliable,14.5,37.5,5.5,0.00%
,Nassau County, FL,12089,21,80622,26,16.1,39.8,5.7,0.00%
,Okaloosa County, FL,12091,42,201170,20.9,15,28.2,3.2,0.10%
,Orange County, FL,12095,126,1314367,9.6,7.9,11.3,0.9,0.30%
,Osceola County, FL,12097,37,336015,11,7.8,15.2,1.8,0.10%
,Palm Beach County, FL,12099,230,1443810,15.9,13.9,18,1.1,0.50%
,Pasco County, FL,12101,104,512368,20.3,16.4,24.2,2,0.20%
,Pinellas County, FL,12103,213,960730,22.2,19.2,25.1,1.5,0.50%
,Polk County, FL,12105,91,666149,13.7,11,16.8,1.4,0.20%
,Putnam County, FL,12107,15,72277,Unreliable,11.6,34.2,5.4,0.00%
,St. Johns County, FL,12109,44,235087,18.7,13.6,25.1,2.8,0.10%
,St. Lucie County, FL,12111,51,306507,16.6,12.4,21.9,2.3,0.10%
,Santa Rosa County, FL,12113,44,170497,25.8,18.8,34.6,3.9,0.10%
,Sarasota County, FL,12115,91,412569,22.1,17.8,27.1,2.3,0.20%
,Seminole County, FL,12117,71,455479,15.6,12.2,19.7,1.8,0.20%
,Sumter County, FL,12119,19,123996,Unreliable,9.2,23.9,3.5,0.00%
,Volusia County, FL,12127,103,529364,19.5,15.7,23.2,1.9,0.20%
,Walton County, FL,12131,15,65889,Unreliable,12.7,37.5,5.9,0.00%
,Baldwin County, GA,13009,10,45144,Unreliable,10.6,40.7,7,0.00%
,Barrow County, GA,13013,17,77126,Unreliable,12.8,35.3,5.3,0.00%
,Bartow County, GA,13015,25,103807,24.1,15.6,35.6,4.8,0.10%
,Bibb County, GA,13021,21,152760,13.7,8.5,21,3,0.00%
,Carroll County, GA,13045,18,116261,Unreliable,9.2,24.5,3.6,0.00%
,Catoosa County, GA,13047,16,66398,Unreliable,13.8,39.1,6,0.00%
,Chatham County, GA,13051,48,289082,16.6,12.2,22,2.4,0.10%
,Cherokee County, GA,13057,38,241689,15.7,11.1,21.6,2.6,0.10%
,Clarke County, GA,13059,15,124707,Unreliable,6.7,19.8,3.1,0.00%
,Clayton County, GA,13063,20,279462,7.2,4.4,11.1,1.6,0.00%
,Cobb County, GA,13067,97,748150,13,10.5,15.8,1.3,0.20%
,Columbia County, GA,13073,22,147450,14.9,9.4,22.6,3.2,0.00%
,Coweta County, GA,13077,18,140526,Unreliable,7.6,20.2,3,0.00%
,DeKalb County, GA,13089,56,740321,7.6,5.7,9.8,1,0.10%
,Dougherty County, GA,13095,10,90017,Unreliable,5.3,20.4,3.5,0.00%
,Douglas County, GA,13097,15,142224,Unreliable,5.9,17.4,2.7,0.00%
,Effingham County, GA,13103,11,58712,Unreliable,9.4,33.5,5.6,0.00%
,Fayette County, GA,13113,10,111627,Unreliable,4.3,16.5,2.8,0.00%
,Floyd County, GA,13115,24,96560,24.9,15.9,37,5.1,0.10%
,Forsyth County, GA,13117,19,221009,Unreliable,5.2,13.4,2,0.00%
,Fulton County, GA,13121,113,1023336,11,9,13.1,1,0.30%
,Glynn County, GA,13127,15,84502,Unreliable,9.9,29.3,4.6,0.00%
,Gordon County, GA,13129,11,56904,Unreliable,9.6,34.6,5.8,0.00%
,Gwinnett County, GA,13135,117,907135,12.9,10.6,15.2,1.2,0.30%
,Habersham County, GA,13137,11,44246,Unreliable,12.4,44.5,7.5,0.00%
,Hall County, GA,13139,36,196637,18.3,12.8,25.3,3.1,0.10%
,Henry County, GA,13151,26,221768,11.7,7.7,17.2,2.3,0.10%
,Houston County, GA,13153,25,152122,16.4,10.6,24.3,3.3,0.10%
,Jackson County, GA,13157,11,64615,Unreliable,8.5,30.5,5.1,0.00%
,Liberty County, GA,13179,11,62570,Unreliable,8.8,31.5,5.3,0.00%
,Lowndes County, GA,13185,12,114628,Unreliable,5.4,18.3,3,0.00%
,Muscogee County, GA,13215,27,197485,13.7,9,19.9,2.6,0.10%
,Newton County, GA,13217,16,106999,Unreliable,8.5,24.3,3.7,0.00%
,Paulding County, GA,13223,19,155825,Unreliable,7.3,19,2.8,0.00%
,Richmond County, GA,13245,21,201647,10.4,6.4,15.9,2.3,0.00%
,Rockdale County, GA,13247,16,89355,Unreliable,10.2,29.1,4.5,0.00%
,Troup County, GA,13285,10,70005,Unreliable,6.9,26.3,4.5,0.00%
,Union County, GA,13291,10,22928,Unreliable,20.9,80.2,13.8,0.00%
,Walker County, GA,13295,13,67896,Unreliable,10.2,32.7,5.3,0.00%
,Walton County, GA,13297,21,90184,23.3,14.4,35.6,5.1,0.00%
,Whitfield County, GA,13313,12,104589,Unreliable,5.9,20,3.3,0.00%
,Hawaii County, HI,15001,32,198449,16.1,11,22.8,2.9,0.10%
,Honolulu County, HI,15003,105,992605,10.6,8.6,12.6,1,0.20%
,Kauai County, HI,15007,13,72029,Unreliable,9.6,30.9,5,0.00%
,Maui County, HI,15009,24,165386,14.5,9.3,21.6,3,0.10%
,Ada County, ID,16001,103,444028,23.2,18.7,27.7,2.3,0.20%
,Bannock County, ID,16005,17,84377,Unreliable,11.7,32.3,4.9,0.00%
,Bingham County, ID,16011,13,45201,Unreliable,15.3,49.2,8,0.00%
,Bonner County, ID,16017,12,42536,Unreliable,14.6,49.3,8.1,0.00%
,Bonneville County, ID,16019,18,112232,Unreliable,9.5,25.3,3.8,0.00%
,Canyon County, ID,16027,32,211698,15.1,10.3,21.3,2.7,0.10%
,Kootenai County, ID,16055,18,154311,Unreliable,6.9,18.4,2.7,0.00%
,Twin Falls County, ID,16083,20,83514,23.9,14.6,37,5.4,0.00%
,Adams County, IL,17001,15,66578,Unreliable,12.6,37.2,5.8,0.00%
,Champaign County, IL,17019,28,208419,13.4,8.9,19.4,2.5,0.10%
,Cook County, IL,17031,425,5203499,8.2,7.4,8.9,0.4,0.90%
,DeKalb County, IL,17037,17,104528,Unreliable,9.5,26,3.9,0.00%
,DuPage County, IL,17043,98,929368,10.5,8.6,12.9,1.1,0.20%
,Kane County, IL,17089,48,531715,9,6.7,12,1.3,0.10%
,Kankakee County, IL,17091,10,110008,Unreliable,4.4,16.7,2.9,0.00%
,Kendall County, IL,17093,14,124695,Unreliable,6.1,18.8,3,0.00%
,Lake County, IL,17097,72,703047,10.2,8,12.9,1.2,0.20%
,LaSalle County, IL,17099,25,110642,22.6,14.6,33.4,4.5,0.10%
,McHenry County, IL,17111,27,307004,8.8,5.8,12.8,1.7,0.10%
,McLean County, IL,17113,24,172418,13.9,8.9,20.7,2.8,0.10%
,Macon County, IL,17115,17,106550,Unreliable,9.3,25.5,3.9,0.00%
,Madison County, IL,17119,52,265759,19.6,14.6,25.7,2.7,0.10%
,Ogle County, IL,17141,10,51273,Unreliable,9.4,35.9,6.2,0.00%
,Peoria County, IL,17143,29,185006,15.7,10.5,22.5,2.9,0.10%
,Rock Island County, IL,17161,22,144784,15.2,9.5,23,3.2,0.00%
,St. Clair County, IL,17163,27,262759,10.3,6.8,15,2,0.10%
,Sangamon County, IL,17167,34,197499,17.2,11.9,24.1,3,0.10%
,Tazewell County, IL,17179,16,134385,Unreliable,6.8,19.3,3,0.00%
,Vermilion County, IL,17183,13,78111,Unreliable,8.9,28.5,4.6,0.00%
,Whiteside County, IL,17195,12,56536,Unreliable,11,37.1,6.1,0.00%
,Will County, IL,17197,75,689529,10.9,8.6,13.6,1.3,0.20%
,Williamson County, IL,17199,11,67560,Unreliable,8.1,29.1,4.9,0.00%
,Winnebago County, IL,17201,43,285873,15,10.9,20.3,2.3,0.10%
,Woodford County, IL,17203,12,39140,Unreliable,15.8,53.6,8.9,0.00%
,Allen County, IN,18003,40,370404,10.8,7.7,14.7,1.7,0.10%
,Bartholomew County, IN,18005,10,81402,Unreliable,5.9,22.6,3.9,0.00%
,Clark County, IN,18019,16,116031,Unreliable,7.9,22.4,3.4,0.00%
,Dearborn County, IN,18029,13,49331,Unreliable,14,45.1,7.3,0.00%
,De Kalb County, IN,18033,10,42746,Unreliable,11.2,43,7.4,0.00%
,Delaware County, IN,18035,16,115603,Unreliable,7.9,22.5,3.5,0.00%
,Elkhart County, IN,18039,22,203781,10.8,6.8,16.3,2.3,0.00%
,Floyd County, IN,18043,16,76990,Unreliable,11.9,33.7,5.2,0.00%
,Grant County, IN,18053,10,66937,Unreliable,7.2,27.5,4.7,0.00%
,Hamilton County, IN,18057,39,316373,12.3,8.8,16.9,2,0.10%
,Hancock County, IN,18059,14,73717,Unreliable,10.4,31.9,5.1,0.00%
,Hendricks County, IN,18063,28,160610,17.4,11.6,25.2,3.3,0.10%
,Henry County, IN,18065,11,48521,Unreliable,11.3,40.6,6.8,0.00%
,Howard County, IN,18067,15,82568,Unreliable,10.2,30,4.7,0.00%
,Jefferson County, IN,18077,13,32418,Unreliable,21.4,68.6,11.1,0.00%
,Jennings County, IN,18079,10,27758,Unreliable,17.3,66.3,11.4,0.00%
,Johnson County, IN,18081,17,151982,Unreliable,6.5,17.9,2.7,0.00%
,Kosciusko County, IN,18085,13,79092,Unreliable,8.8,28.1,4.6,0.00%
,Lake County, IN,18089,74,485846,15.2,12,19.1,1.8,0.20%
,La Porte County, IN,18091,11,110015,Unreliable,5,17.9,3,0.00%
,Madison County, IN,18095,22,129296,17,10.7,25.8,3.6,0.00%
,Marion County, IN,18097,143,941229,15.2,12.7,17.7,1.3,0.30%
,Monroe County, IN,18105,28,145496,19.2,12.8,27.8,3.6,0.10%
,Morgan County, IN,18109,10,69698,Unreliable,6.9,26.4,4.5,0.00%
,Porter County, IN,18127,28,167791,16.7,11.1,24.1,3.2,0.10%
,St. Joseph County, IN,18141,44,269141,16.3,11.9,21.9,2.5,0.10%
,Tippecanoe County, IN,18157,17,188059,Unreliable,5.3,14.5,2.2,0.00%
,Vanderburgh County, IN,18163,31,181721,17.1,11.6,24.2,3.1,0.10%
,Vigo County, IN,18167,25,107931,23.2,15,34.2,4.6,0.10%
,Wayne County, IN,18177,15,66568,Unreliable,12.6,37.2,5.8,0.00%
,Black Hawk County, IA,19013,22,132904,16.6,10.4,25.1,3.5,0.00%
,Dallas County, IA,19049,13,84516,Unreliable,8.2,26.3,4.3,0.00%
,Dubuque County, IA,19061,12,97003,Unreliable,6.4,21.6,3.6,0.00%
,Johnson County, IA,19103,16,146547,Unreliable,6.2,17.7,2.7,0.00%
,Linn County, IA,19113,40,221661,18,12.9,24.6,2.9,0.10%
,Polk County, IA,19153,71,474045,15,11.7,18.9,1.8,0.20%
,Pottawattamie County, IA,19155,15,93582,Unreliable,9,26.4,4.1,0.00%
,Scott County, IA,19163,19,172474,Unreliable,6.6,17.2,2.5,0.00%
,Woodbury County, IA,19193,10,102779,Unreliable,4.7,17.9,3.1,0.00%
,Butler County, KS,20015,15,67025,Unreliable,12.5,36.9,5.8,0.00%
,Douglas County, KS,20045,14,119440,Unreliable,6.4,19.7,3.1,0.00%
,Johnson County, KS,20091,84,584451,14.4,11.5,17.8,1.6,0.20%
,Leavenworth County, KS,20103,15,80204,Unreliable,10.5,30.8,4.8,0.00%
,Reno County, KS,20155,12,63220,Unreliable,9.8,33.2,5.5,0.00%
,Riley County, KS,20161,10,73343,Unreliable,6.5,25.1,4.3,0.00%
,Sedgwick County, KS,20173,99,511995,19.3,15.7,23.5,1.9,0.20%
,Shawnee County, KS,20177,41,178146,23,16.5,31.2,3.6,0.10%
,Wyandotte County, KS,20209,27,163831,16.5,10.9,24,3.2,0.10%
,Boone County, KY,21015,16,128536,Unreliable,7.1,20.2,3.1,0.00%
,Boyd County, KY,21019,13,48132,Unreliable,14.4,46.2,7.5,0.00%
,Bullitt County, KY,21029,12,79151,Unreliable,7.8,26.5,4.4,0.00%
,Christian County, KY,21047,12,72351,Unreliable,8.6,29,4.8,0.00%
,Daviess County, KY,21059,32,99674,32.1,22,45.3,5.7,0.10%
,Fayette County, KY,21067,49,318449,15.4,11.4,20.3,2.2,0.10%
,Hardin County, KY,21093,18,107316,Unreliable,9.9,26.5,4,0.00%
,Jefferson County, KY,21111,138,765352,18,15,21,1.5,0.30%
,Kenton County, KY,21117,22,164945,13.3,8.4,20.2,2.8,0.00%
,Lincoln County, KY,21137,10,24372,Unreliable,19.7,75.5,13,0.00%
,McCracken County, KY,21145,15,65162,Unreliable,12.9,38,5.9,0.00%
,Madison County, KY,21151,12,89547,Unreliable,6.9,23.4,3.9,0.00%
,Marshall County, KY,21157,10,31365,Unreliable,15.3,58.6,10.1,0.00%
,Pike County, KY,21195,13,60555,Unreliable,11.4,36.7,6,0.00%
,Warren County, KY,21227,20,125532,15.9,9.7,24.6,3.6,0.00%
,Acadia Parish, LA,22001,13,62645,Unreliable,11,35.5,5.8,0.00%
,Ascension Parish, LA,22005,15,121587,Unreliable,6.9,20.3,3.2,0.00%
,Avoyelles Parish, LA,22009,11,41117,Unreliable,13.4,47.9,8.1,0.00%
,Bossier Parish, LA,22015,18,126057,Unreliable,8.5,22.6,3.4,0.00%
,Caddo Parish, LA,22017,31,248851,12.5,8.5,17.7,2.2,0.10%
,Calcasieu Parish, LA,22019,41,200601,20.4,14.7,27.7,3.2,0.10%
,East Baton Rouge Parish, LA,22033,42,447037,9.4,6.8,12.7,1.4,0.10%
,Jefferson Parish, LA,22051,60,436523,13.7,10.5,17.7,1.8,0.10%
,Lafayette Parish, LA,22055,38,241398,15.7,11.1,21.6,2.6,0.10%
,Lafourche Parish, LA,22057,19,98305,Unreliable,11.6,30.2,4.4,0.00%
,Livingston Parish, LA,22063,24,140138,17.1,11,25.5,3.5,0.10%
,Natchitoches Parish, LA,22069,12,39162,Unreliable,15.8,53.5,8.8,0.00%
,Orleans Parish, LA,22071,38,391495,9.7,6.9,13.3,1.6,0.10%
,Ouachita Parish, LA,22073,16,156983,Unreliable,5.8,16.6,2.5,0.00%
,Rapides Parish, LA,22079,35,132424,26.4,18.4,36.8,4.5,0.10%
,St. Landry Parish, LA,22097,18,83883,Unreliable,12.7,33.9,5.1,0.00%
,St. Martin Parish, LA,22099,13,54007,Unreliable,12.8,41.2,6.7,0.00%
,St. Tammany Parish, LA,22103,45,253602,17.7,12.9,23.7,2.6,0.10%
,Tangipahoa Parish, LA,22105,24,130710,18.4,11.8,27.3,3.7,0.10%
,Terrebonne Parish, LA,22109,20,113220,17.7,10.8,27.3,3.9,0.00%
,Vernon Parish, LA,22115,14,50569,Unreliable,15.1,46.5,7.4,0.00%
,Androscoggin County, ME,23001,22,107319,20.5,12.8,31,4.4,0.00%
,Aroostook County, ME,23003,15,67959,Unreliable,12.4,36.4,5.7,0.00%
,Cumberland County, ME,23005,33,292041,11.3,7.8,15.9,2,0.10%
,Hancock County, ME,23009,10,54419,Unreliable,8.8,33.8,5.8,0.00%
,Kennebec County, ME,23011,19,120569,Unreliable,9.5,24.6,3.6,0.00%
,Knox County, ME,23013,12,39744,Unreliable,15.6,52.7,8.7,0.00%
,Penobscot County, ME,23019,24,151806,15.8,10.1,23.5,3.2,0.10%
