Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,,
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1640625,43.06640625,43.06640625,43.01757813,42.96875,42.91992188,42.87109375,42.82226563,42.7734375,42.72460938,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,,
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35535397,38.84145139,38.84145187,39.08449962,39.32754977,39.57059752,39.81364526,40.05669541,40.29974316,40.54279331,40.78584106,40.94655694,41.10930432,41.27002813,41.43484242,41.59148055,41.67372898,41.77033117,41.86692856,41.98008279,42.06012814,42.15613026,42.25420041,42.35269119,42.43716789,42.53416463,42.6301065,,
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.84743662,70.16001647,69.4730405,68.78605917,68.09907785,67.41166305,66.72468173,66.03770041,65.35072444,64.66330428,63.97632831,63.60149057,63.226214,62.85138162,62.47610504,62.10127266,61.88075406,61.66023545,61.44015568,61.21964244,60.99912383,60.77904406,60.5589643,60.33932336,60.11924359,59.89916917,59.6790894,,
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,,
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.96639897,57.71679273,57.46718288,57.21757665,56.9679668,56.71836056,56.46875433,56.21914448,55.96953825,55.7199284,55.47032216,55.21979282,54.96925987,54.71873053,54.46819758,54.21766824,53.75150005,53.28533186,52.81916367,52.35299548,51.88682729,51.62004985,51.35327241,51.08649497,50.81971753,50.55294009,50.28616265,,
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.40988785,65.10561859,64.80135682,64.49708757,64.1928258,63.88855654,63.58428729,63.28002552,62.97575627,62.67149076,62.36722524,62.01930094,61.67137665,61.32345235,60.97552805,60.62760375,60.42957075,60.23153402,60.03350102,59.83546429,59.63743129,59.51970175,59.40197221,59.28424267,59.16651312,59.04878358,58.93105404,,
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,,
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.36812144,78.06451497,77.7609085,77.45730782,77.15370135,76.85009488,76.54648841,76.24288193,75.93928125,75.63567478,75.33206831,75.02846184,74.72485537,74.42125469,74.11764822,73.81404175,73.47248808,73.13092863,72.78937497,72.44781552,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,,
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.65045193,53.86297964,54.07551257,54.28804028,63.98065155,64.23015345,64.47964922,64.72914499,64.97838926,65.22789116,65.47738693,65.7268827,65.97638461,66.22588038,69.41049937,69.67101126,69.93152956,70.19177885,70.45229074,70.71280903,70.97332093,71.23383282,71.49434471,71.754863,72.0153749,72.27562418,72.48453671,,
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.20552997,23.99678894,23.78804791,23.57930515,23.37056412,23.16182309,22.95308206,22.74434103,22.53559827,22.32685724,22.11811621,21.90919769,21.7002809,21.49136239,21.28244559,21.07352708,20.86460856,20.65569177,20.44677325,20.23785646,20.02893794,19.84860481,19.66827168,19.48794027,19.30760714,19.12727401,18.94694088,,
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21304055,36.18800024,36.16295994,36.1379165,36.11287619,36.08783589,36.06279558,36.03775528,36.01271183,35.98767153,35.96263122,35.93759092,35.91255061,35.88750717,35.86246687,35.83742656,35.81238626,35.78734595,35.76230251,35.73726221,35.7122219,35.6871816,35.66214129,35.63709785,35.61205754,35.58701724,35.56197693,,
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29907264,38.2938938,38.28871497,38.28353271,38.27835388,38.27317504,38.26799621,38.26281738,38.25763512,38.25245628,38.24727745,38.24230825,38.23733561,38.23236641,38.22739377,38.22242456,38.21639691,38.2103727,38.20434505,38.19832084,38.19229318,38.18716934,38.18204549,38.17691821,38.17179436,38.16667052,38.16154667,,
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.94439667,31.97171585,32.04927672,32.10549862,32.15870758,32.21395238,32.26569502,32.32181524,32.37676893,32.43113618,32.48785447,32.61872176,32.79916191,32.92992848,33.05619899,33.19175623,33.28837501,33.38742088,33.48341452,33.54922806,33.64360777,33.74878234,33.86057812,33.93350468,34.03978031,34.14582404,34.25172011,,
